epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61515,2.13472,3.44844,3.39608,1.23024,0.06815,0.50096,0.07817,0.04211,0.07336,0.53929,0.08517,0.04413,1.48156,2.67469,3.383,1.01274,0.00022,0.00022,0.00022
2,15.8463,1.56322,2.39433,2.94114,0.97336,0.09009,0.75968,0.19431,0.07797,0.09268,0.78153,0.21222,0.09032,1.42294,2.70976,3.30088,0.95132,0.000459545,0.000459545,0.000459545
3,22.1613,1.49792,2.19927,2.40028,0.94969,0.08527,0.71905,0.21059,0.08646,0.09014,0.76006,0.24574,0.11015,1.49153,2.65321,3.18715,0.94766,0.000698614,0.000698614,0.000698614
4,26.921,1.54474,2.22991,2.04418,0.95294,0.08364,0.70525,0.22246,0.09299,0.08641,0.72863,0.24123,0.10672,1.5338,2.52023,3.07784,0.95095,0.000937208,0.000937208,0.000937208
5,30.9286,1.55355,2.20344,1.56574,0.94864,0.08386,0.70717,0.36407,0.18953,0.08686,0.73246,0.38163,0.18769,1.57922,2.95999,2.81389,0.96383,0.00117533,0.00117533,0.00117533
6,35.1132,1.55427,2.1663,1.28515,0.94377,0.67411,0.35519,0.44985,0.24595,0.65886,0.37087,0.48051,0.25411,1.59903,2.44916,2.58337,0.959,0.00141297,0.00141297,0.00141297
7,39.4029,1.5474,2.21989,1.15458,0.95828,0.93046,0.30356,0.5914,0.30271,0.94202,0.312,0.61703,0.3179,1.67227,2.68589,2.24137,0.99307,0.00165014,0.00165014,0.00165014
8,43.3795,1.46508,2.03206,1.02733,0.94963,0.92936,0.37317,0.71634,0.35796,0.91123,0.36588,0.68851,0.32464,1.6207,2.58311,2.04207,0.97953,0.00188683,0.00188683,0.00188683
9,47.7101,1.45859,2.09227,1.01129,0.95522,0.79965,0.68992,0.7696,0.31483,0.78197,0.66809,0.73419,0.28894,1.74588,3.05191,1.52184,1.01987,0.00198416,0.00198416,0.00198416
10,52.0316,1.55665,2.06239,0.98633,0.96878,0.75217,0.73016,0.76302,0.30165,0.718,0.69912,0.70322,0.25847,1.6788,2.71699,1.31944,1.01465,0.00198218,0.00198218,0.00198218
11,56.2237,1.50708,2.07361,0.96537,0.96494,0.7917,0.81144,0.83135,0.37753,0.77411,0.77757,0.78523,0.30818,1.58045,2.66171,1.01624,0.98372,0.0019802,0.0019802,0.0019802
12,60.9362,1.48082,2.09364,0.90886,0.94805,0.79889,0.78566,0.79524,0.33418,0.79712,0.78114,0.78586,0.31555,1.55675,2.92994,1.02993,0.99378,0.00197822,0.00197822,0.00197822
13,65.2396,1.44716,2.15248,0.92006,0.97205,0.88046,0.87229,0.8967,0.45001,0.86041,0.84975,0.8645,0.40291,1.37907,2.28445,1.01128,0.96172,0.00197624,0.00197624,0.00197624
14,69.35,1.35755,1.99108,0.87535,0.96058,0.87794,0.86317,0.9031,0.47899,0.86597,0.8321,0.86362,0.39195,1.35208,2.26726,1.00391,0.95672,0.00197426,0.00197426,0.00197426
15,73.7323,1.36198,2.01933,0.86839,0.96203,0.8708,0.86547,0.88305,0.41914,0.8623,0.8578,0.86347,0.40444,1.36661,2.31997,0.92322,0.95635,0.00197228,0.00197228,0.00197228
16,78.374,1.34052,2.09549,0.85717,0.95266,0.85554,0.85128,0.86141,0.39607,0.84771,0.84515,0.84463,0.38018,1.43387,2.4137,0.95252,0.96549,0.0019703,0.0019703,0.0019703
17,83.0076,1.33579,1.99775,0.8192,0.93968,0.83826,0.76773,0.83815,0.40613,0.8374,0.758,0.8206,0.37597,1.39196,2.46587,0.93542,0.98599,0.00196832,0.00196832,0.00196832
18,87.4657,1.30492,1.94199,0.847,0.9385,0.83931,0.8068,0.84229,0.39892,0.83364,0.81104,0.84139,0.37426,1.39151,2.34443,0.9484,0.98156,0.00196634,0.00196634,0.00196634
19,91.67,1.34767,2.07833,0.83251,0.94873,0.85416,0.82292,0.84451,0.41285,0.84707,0.80675,0.82992,0.34963,1.35431,2.41174,0.91206,0.9582,0.00196436,0.00196436,0.00196436
20,96.005,1.33119,2.01046,0.80741,0.93784,0.84579,0.8346,0.85006,0.38948,0.83112,0.81868,0.81555,0.33094,1.36547,2.64876,0.94755,0.96529,0.00196238,0.00196238,0.00196238
21,100.329,1.26829,1.95408,0.8067,0.93628,0.84187,0.85501,0.85129,0.38656,0.83601,0.83365,0.82145,0.34413,1.39033,2.47466,0.92252,0.95965,0.0019604,0.0019604,0.0019604
22,104.549,1.33291,2.09758,0.82803,0.94163,0.82418,0.81411,0.80562,0.3708,0.82976,0.80145,0.79933,0.3183,1.43618,2.71616,0.8936,0.97121,0.00195842,0.00195842,0.00195842
23,108.88,1.30556,2.02744,0.78519,0.94677,0.84567,0.80228,0.82639,0.38817,0.83637,0.79346,0.81798,0.35037,1.39366,2.44945,0.83237,0.97593,0.00195644,0.00195644,0.00195644
24,113.247,1.30945,2.12862,0.78045,0.93935,0.87972,0.85857,0.88757,0.43693,0.86649,0.84329,0.86295,0.37355,1.33378,2.15639,0.81998,0.96077,0.00195446,0.00195446,0.00195446
25,117.354,1.251,1.94742,0.773,0.93151,0.83791,0.80644,0.82799,0.36864,0.79977,0.79954,0.77889,0.30368,1.4017,2.40006,0.91625,0.97588,0.00195248,0.00195248,0.00195248
